,degree,real graph,random graph 0,random graph 1,random graph 2,random graph 3,random graph 4,random graph 5,random graph 6,random graph 7,random graph 8,random graph 9,random graph 10,random graph 11,random graph 12,random graph 13,random graph 14,random graph 15,random graph 16,random graph 17,random graph 18,random graph 19,random graph 20,random graph 21,random graph 22,random graph 23,random graph 24,random graph 25,random graph 26,random graph 27,random graph 28,random graph 29,random graph 30,random graph 31,random graph 32,random graph 33,random graph 34,random graph 35,random graph 36,random graph 37,random graph 38,random graph 39,random graph 40,random graph 41,random graph 42,random graph 43,random graph 44,random graph 45,random graph 46,random graph 47,random graph 48,random graph 49,random graph 50,random graph 51,random graph 52,random graph 53,random graph 54,random graph 55,random graph 56,random graph 57,random graph 58,random graph 59,random graph 60,random graph 61,random graph 62,random graph 63,random graph 64,random graph 65,random graph 66,random graph 67,random graph 68,random graph 69,random graph 70,random graph 71,random graph 72,random graph 73,random graph 74,random graph 75,random graph 76,random graph 77,random graph 78,random graph 79,random graph 80,random graph 81,random graph 82,random graph 83,random graph 84,random graph 85,random graph 86,random graph 87,random graph 88,random graph 89,random graph 90,random graph 91,random graph 92,random graph 93,random graph 94,random graph 95,random graph 96,random graph 97,random graph 98,random graph 99
0,0,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899,0.1000042302973899
1,1,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349,0.10322820361506349
2,2,0.10724360724360725,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.1071981071981072,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717,0.10717535717535717
3,3,0.11203913614127192,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.11194368213816967,0.1119198186373941,0.1119198186373941,0.11194368213816967,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.11194368213816967,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.11194368213816967,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941,0.1119198186373941
4,4,0.11784154867368314,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11761439640594634,0.1175891572650867,0.11756391812422705,0.1175891572650867,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.1175891572650867,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.1175891572650867,0.11756391812422705,0.1175891572650867,0.11756391812422705,0.1175891572650867,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.1175891572650867,0.11756391812422705,0.11756391812422705,0.1175891572650867,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.1175891572650867,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.1175891572650867,0.1175891572650867,0.11756391812422705,0.11756391812422705,0.1175891572650867,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705,0.11756391812422705
5,5,0.12239789196310935,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.1220026350461133,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.1220026350461133,0.1220026350461133,0.12197628458498024,0.1220026350461133,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.1220026350461133,0.12194993412384716,0.12197628458498024,0.1220026350461133,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.1220026350461133,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12197628458498024,0.12197628458498024,0.12194993412384716,0.12197628458498024,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12197628458498024,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716,0.12194993412384716
6,6,0.12797536481162958,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.12730954890972646,0.12722632192198857,0.12722632192198857,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12725406425123453,0.12725406425123453,0.12725406425123453,0.12725406425123453,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.1272818065804805,0.12730954890972646,0.1272818065804805,0.12725406425123453,0.12730954890972646,0.12722632192198857,0.1272818065804805,0.1272818065804805,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.1272818065804805,0.12730954890972646,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.1272818065804805,0.12725406425123453,0.12730954890972646,0.12725406425123453,0.12725406425123453,0.12730954890972646,0.1272818065804805,0.12725406425123453,0.1272818065804805,0.12725406425123453,0.12725406425123453,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12725406425123453,0.12722632192198857,0.12725406425123453,0.12722632192198857,0.12725406425123453,0.1272818065804805,0.12722632192198857,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12725406425123453,0.12722632192198857,0.1272818065804805,0.12725406425123453,0.12725406425123453,0.12725406425123453,0.12725406425123453,0.1272818065804805,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.1272818065804805,0.12725406425123453,0.12722632192198857,0.12722632192198857,0.12722632192198857,0.12725406425123453,0.1272818065804805,0.12730954890972646,0.12725406425123453,0.12725406425123453,0.12722632192198857,0.12725406425123453
7,7,0.13189883627145985,0.13109229173867956,0.13109229173867956,0.13109229173867956,0.1311210969005646,0.1311210969005646,0.1311210969005646,0.1312075123862196,0.13109229173867956,0.13109229173867956,0.13114990206244959,0.13109229173867956,0.13109229173867956,0.13109229173867956,0.1311210969005646,0.13114990206244959,0.13114990206244959,0.1311210969005646,0.13114990206244959,0.13109229173867956,0.13109229173867956,0.13109229173867956,0.1311787072243346,0.1311787072243346,0.1311787072243346,0.1311210969005646,0.1311787072243346,0.1311210969005646,0.1311787072243346,0.13114990206244959,0.13114990206244959,0.1311210969005646,0.13109229173867956,0.1311787072243346,0.1311787072243346,0.1311210969005646,0.13109229173867956,0.1311210969005646,0.1311210969005646,0.1311210969005646,0.13109229173867956,0.13109229173867956,0.13109229173867956,0.13114990206244959,0.1311210969005646,0.1311787072243346,0.1311210969005646,0.13114990206244959,0.1311787072243346,0.1311787072243346,0.1311210969005646,0.13114990206244959,0.1311210969005646,0.13114990206244959,0.13114990206244959,0.13109229173867956,0.13109229173867956,0.1311210969005646,0.13109229173867956,0.13109229173867956,0.1311210969005646,0.13109229173867956,0.13109229173867956,0.13109229173867956,0.1311787072243346,0.13109229173867956,0.13114990206244959,0.13109229173867956,0.1311210969005646,0.1311787072243346,0.13109229173867956,0.1311210969005646,0.13109229173867956,0.13109229173867956,0.1311210969005646,0.13114990206244959,0.13109229173867956,0.1311210969005646,0.13114990206244959,0.1311210969005646,0.1311787072243346,0.13114990206244959,0.1311210969005646,0.1311210969005646,0.1311210969005646,0.1311787072243346,0.13109229173867956,0.13109229173867956,0.13114990206244959,0.13114990206244959,0.13114990206244959,0.13109229173867956,0.1311787072243346,0.1311210969005646,0.13114990206244959,0.1311787072243346,0.1311787072243346,0.13114990206244959,0.1311210969005646,0.13109229173867956,0.1311210969005646
8,8,0.13682019726721564,0.13582481223418696,0.13582481223418696,0.13582481223418696,0.13588513859982507,0.135854975417006,0.13588513859982507,0.1359756281482822,0.13582481223418696,0.13588513859982507,0.1359153017826441,0.13588513859982507,0.13582481223418696,0.13582481223418696,0.1359153017826441,0.13588513859982507,0.1359153017826441,0.13588513859982507,0.13588513859982507,0.13588513859982507,0.13582481223418696,0.13588513859982507,0.1359153017826441,0.13594546496546314,0.13594546496546314,0.135854975417006,0.1359153017826441,0.135854975417006,0.13594546496546314,0.1359153017826441,0.13588513859982507,0.13588513859982507,0.13588513859982507,0.13594546496546314,0.1359756281482822,0.13588513859982507,0.13582481223418696,0.135854975417006,0.135854975417006,0.13588513859982507,0.13582481223418696,0.135854975417006,0.13582481223418696,0.13588513859982507,0.135854975417006,0.1359153017826441,0.135854975417006,0.13588513859982507,0.13594546496546314,0.1359153017826441,0.1359153017826441,0.1359153017826441,0.1359153017826441,0.13594546496546314,0.13594546496546314,0.135854975417006,0.13582481223418696,0.13588513859982507,0.13588513859982507,0.13582481223418696,0.135854975417006,0.13582481223418696,0.13582481223418696,0.135854975417006,0.1359153017826441,0.135854975417006,0.13588513859982507,0.13588513859982507,0.135854975417006,0.13594546496546314,0.13582481223418696,0.135854975417006,0.13582481223418696,0.13582481223418696,0.1359153017826441,0.13594546496546314,0.13588513859982507,0.13588513859982507,0.13588513859982507,0.1359153017826441,0.13600579133110124,0.13588513859982507,0.1359153017826441,0.1359153017826441,0.13588513859982507,0.1359153017826441,0.135854975417006,0.13582481223418696,0.13588513859982507,0.1359153017826441,0.1359153017826441,0.13582481223418696,0.1359756281482822,0.13588513859982507,0.13588513859982507,0.13594546496546314,0.13594546496546314,0.13588513859982507,0.1359153017826441,0.135854975417006,0.13588513859982507
9,9,0.14106907585168454,0.139877031181379,0.139877031181379,0.139877031181379,0.139939770374553,0.13990840077796599,0.13990840077796599,0.14003387916431395,0.139877031181379,0.13990840077796599,0.139939770374553,0.139939770374553,0.13984566158479203,0.139877031181379,0.14000250956772695,0.13990840077796599,0.14000250956772695,0.139939770374553,0.13997113997113997,0.13997113997113997,0.13984566158479203,0.13990840077796599,0.139939770374553,0.14000250956772695,0.14000250956772695,0.139877031181379,0.139939770374553,0.13990840077796599,0.14000250956772695,0.14000250956772695,0.13990840077796599,0.139939770374553,0.13990840077796599,0.14006524876090093,0.14003387916431395,0.13990840077796599,0.13984566158479203,0.139877031181379,0.13990840077796599,0.139939770374553,0.139877031181379,0.139939770374553,0.139877031181379,0.139939770374553,0.13990840077796599,0.14000250956772695,0.139939770374553,0.13990840077796599,0.13997113997113997,0.13997113997113997,0.14003387916431395,0.139939770374553,0.14006524876090093,0.13997113997113997,0.14000250956772695,0.139877031181379,0.13984566158479203,0.13990840077796599,0.139939770374553,0.13984566158479203,0.139877031181379,0.139939770374553,0.13990840077796599,0.139877031181379,0.13997113997113997,0.139877031181379,0.139939770374553,0.13990840077796599,0.139939770374553,0.14000250956772695,0.13984566158479203,0.13997113997113997,0.13984566158479203,0.13984566158479203,0.14003387916431395,0.14003387916431395,0.14000250956772695,0.139939770374553,0.13990840077796599,0.13997113997113997,0.14003387916431395,0.139939770374553,0.139939770374553,0.13997113997113997,0.13990840077796599,0.13997113997113997,0.139939770374553,0.13984566158479203,0.139939770374553,0.13997113997113997,0.14000250956772695,0.13984566158479203,0.14003387916431395,0.13990840077796599,0.13997113997113997,0.14000250956772695,0.13997113997113997,0.13997113997113997,0.139939770374553,0.13990840077796599,0.139939770374553
